thickness,threads,openmp
1,2,3.2116
1,4,0.0923
1,7,0.0844
1,8,0.0616
1,9,0.0929
1,10,0.0927
1,16,0.0881
1,32,0.0977
1,64,0.1058
1,128,0.0914
1,256,0.0848
25,2,1.1233
25,4,0.7008
25,7,0.3385
25,8,0.3708
25,9,0.5982
25,10,0.5298
25,16,0.3823
25,32,0.4367
25,64,0.33
25,128,0.3299
25,256,0.6434
50,2,5.7261
50,4,2.6018
50,7,1.2944
50,8,1.5539
50,9,2.0619
50,10,1.664
50,16,1.6152
50,32,1.2186
50,64,3.0677
50,128,1.9235
50,256,8.1178
75,2,11.5161
75,4,4.2154
75,7,4.6916
75,8,4.9695
75,9,4.3739
75,10,3.6293
75,16,3.4808
75,32,5.2359
75,64,5.3892
75,128,4.9378
75,256,4.9265
100,2,19.0289
100,4,9.6268
100,7,5.5278
100,8,4.3303
100,9,8.0884
100,10,8.0502
100,16,4.0517
100,32,5.603
100,64,8.3078
100,128,9.4162
100,256,40.5733
125,2,32.0352
125,4,15.6259
125,7,8.7097
125,8,6.1683
125,9,10.0701
125,10,12.1799
125,16,10.9627
125,32,6.5596
125,64,13.1749
125,128,12.1526
125,256,18.6661
150,2,51.2061
150,4,25.99
150,7,13.8652
150,8,12.0021
150,9,16.5855
150,10,16.2788
150,16,8.2421
150,32,13.1823
150,64,14.0904
150,128,14.9332
150,256,14.8324
175,2,61.1966
175,4,27.0922
175,7,15.8848
175,8,11.3543
175,9,25.9576
175,10,17.0527
175,16,15.7913
175,32,16.232
175,64,15.4544
175,128,65.8121
175,256,106.637
200,2,83.2739
200,4,34.4997
200,7,25.9039
200,8,16.1356
200,9,36.2518
200,10,23.5589
200,16,22.6606
200,32,19.5559
200,64,30.6911
200,128,25.3642
200,256,35.3067
225,2,101.729
225,4,53.1073
225,7,23.2903
225,8,20.1835
225,9,34.3678
225,10,37.7906
225,16,20.2123
225,32,31.3818
225,64,20.7669
225,128,42.2611
225,256,45.4186
250,2,117.452
250,4,52.1772
250,7,33.9241
250,8,26.3476
250,9,47.7297
250,10,45.0036
250,16,20.6021
250,32,32.8526
250,64,65.4997
250,128,65.1774
250,256,54.9097
275,2,118.238
275,4,74.8687
275,7,33.7095
275,8,26.9842
275,9,53.2016
275,10,49.1708
275,16,41.7077
275,32,30.6792
275,64,37.1873
275,128,139.011
275,256,75.9909
300,2,134.903
300,4,76.6142
300,7,43.8331
300,8,32.8111
300,9,48.9021
300,10,54.0096
300,16,40.2469
300,32,62.47
300,64,47.234
300,128,137.973
300,256,86.2495
