thickness,threads,threaded
1,2,2.5705
1,4,1.6651
1,7,3.0196
1,8,3.0377
1,9,3.3839
1,10,3.3511
1,16,4.8778
1,32,10.5376
1,64,20.7606
1,128,45.6339
1,256,96.9753
25,2,1.8956
25,4,2.2886
25,7,3.1939
25,8,5.4674
25,9,4.074
25,10,4.538
25,16,6.8086
25,32,13.5206
25,64,26.8122
25,128,56.7175
25,256,138.102
50,2,3.3502
50,4,4.2714
50,7,5.4406
50,8,5.4256
50,9,6.2376
50,10,6.4863
50,16,9.2676
50,32,15.6649
50,64,27.8921
50,128,59.835
50,256,118.793
75,2,11.0053
75,4,6.6431
75,7,7.6139
75,8,7.9255
75,9,8.5303
75,10,9.0623
75,16,11.2923
75,32,17.3327
75,64,31.2706
75,128,63.1854
75,256,123.751
100,2,11.4234
100,4,9.4749
100,7,10.9006
100,8,12.8976
100,9,10.5913
100,10,12.472
100,16,13.9108
100,32,21.8294
100,64,34.554
100,128,64.2828
100,256,134.91
125,2,27.7742
125,4,14.5277
125,7,11.3311
125,8,17.4074
125,9,14.6661
125,10,17.1141
125,16,18.5
125,32,21.3009
125,64,35.6996
125,128,59.7258
125,256,110.244
150,2,27.8337
150,4,16.375
150,7,18.6058
150,8,19.6791
150,9,18.0127
150,10,16.519
150,16,23.0895
150,32,25.0479
150,64,34.8457
150,128,58.1387
150,256,100.558
175,2,34.7912
175,4,25.8137
175,7,20.364
175,8,23.1547
175,9,24.2592
175,10,32.2084
175,16,29.5144
175,32,30.2542
175,64,44.132
175,128,76.9401
175,256,106.897
200,2,37.9319
200,4,35.844
200,7,24.1645
200,8,25.5045
200,9,38.3235
200,10,37.4517
200,16,35.3067
200,32,46.4457
200,64,66.1947
200,128,78.03
200,256,107.523
225,2,56.2666
225,4,55.6195
225,7,32.0518
225,8,39.1387
225,9,37.6497
225,10,30.0245
225,16,30.7883
225,32,31.6686
225,64,57.3681
225,128,78.7756
225,256,114.693
250,2,63.8949
250,4,35.4899
250,7,35.2698
250,8,44.4729
250,9,35.2417
250,10,36.3941
250,16,40.3134
250,32,34.7106
250,64,58.5996
250,128,94.261
250,256,129.927
275,2,90.4648
275,4,40.5464
275,7,34.6112
275,8,42.5313
275,9,55.8828
275,10,60.5264
275,16,43.4431
275,32,47.0165
275,64,73.5721
275,128,90.5178
275,256,134.03
300,2,108.305
300,4,65.2009
300,7,43.1825
300,8,50.1774
300,9,47.6523
300,10,58.0822
300,16,46.3029
300,32,65.9936
300,64,76.2781
300,128,89.3774
300,256,215.548
