thickness,threads,openmp
1,2,1.7679
1,4,0.0835
1,7,0.0858
1,8,0.0876
1,9,0.0836
1,10,0.084
1,16,0.0824
1,32,0.0854
1,64,0.0707
1,128,0.0826
1,256,0.0832
2,2,0.3478
2,4,0.3265
2,7,0.3264
2,8,0.465
2,9,0.3471
2,10,0.3334
2,16,0.3134
2,32,0.3598
2,64,0.321
2,128,0.3258
2,256,0.3064
3,2,0.3071
3,4,0.3457
3,7,0.677
3,8,0.2902
3,9,0.3091
3,10,0.3323
3,16,0.3364
3,32,0.2681
3,64,0.3093
3,128,0.2681
3,256,0.3358
4,2,0.6418
4,4,0.6374
4,7,0.7073
4,8,0.6508
4,9,0.6999
4,10,0.6427
4,16,0.7358
4,32,0.6575
4,64,0.6563
4,128,0.6481
4,256,0.6124
5,2,0.7219
5,4,0.644
5,7,0.642
5,8,0.6332
5,9,0.6394
5,10,0.6353
5,16,0.6725
5,32,0.7648
5,64,0.6478
5,128,0.6473
5,256,0.749
6,2,1.5343
6,4,1.5471
6,7,1.5079
6,8,1.5245
6,9,1.542
6,10,1.3771
6,16,1.3582
6,32,1.438
6,64,2.2778
6,128,1.7637
6,256,1.4599
7,2,2.0712
7,4,1.2982
7,7,1.5439
7,8,1.9658
7,9,1.5123
7,10,1.9165
7,16,1.4097
7,32,1.4263
7,64,1.4455
7,128,1.5312
7,256,1.6007
8,2,2.4393
8,4,2.4044
8,7,3.2097
8,8,2.6358
8,9,4.0442
8,10,2.4168
8,16,2.2916
8,32,1.6544
8,64,1.9309
8,128,1.8956
8,256,1.9794
9,2,2.1516
9,4,2.0316
9,7,1.9184
9,8,2.0917
9,9,2.063
9,10,2.1344
9,16,1.9349
9,32,2.1228
9,64,1.9833
9,128,2.4496
9,256,2.0272
10,2,3.3533
10,4,3.2686
10,7,3.5338
10,8,3.3287
10,9,3.0593
10,10,3.752
10,16,2.8232
10,32,2.7959
10,64,2.8825
10,128,2.0074
10,256,3.2822
11,2,3.5989
11,4,3.3206
11,7,2.9524
11,8,2.954
11,9,2.9512
11,10,2.9452
11,16,3.2236
11,32,2.6939
11,64,4.7705
11,128,3.4414
11,256,3.0614
12,2,4.0722
12,4,3.3585
12,7,2.7876
12,8,3.0359
12,9,2.7886
12,10,2.7982
12,16,2.9265
12,32,2.8769
12,64,2.8057
12,128,2.7429
12,256,3.0451
13,2,3.0687
13,4,3.0225
13,7,3.1023
13,8,4.1527
13,9,3.0629
13,10,2.7428
13,16,3.0154
13,32,2.7119
13,64,2.7279
13,128,4.5778
13,256,2.9006
14,2,4.2205
14,4,3.7145
14,7,3.7809
14,8,3.7546
14,9,3.7424
14,10,3.6109
14,16,3.6861
14,32,4.9484
14,64,3.6884
14,128,3.5981
14,256,3.9611
15,2,3.7393
15,4,3.632
15,7,3.8038
15,8,3.6738
15,9,3.7975
15,10,3.8262
15,16,3.6138
15,32,3.7273
15,64,3.6865
15,128,3.8388
15,256,3.8856
16,2,4.6713
16,4,5.0895
