thickness,threads,openmp
150
1,2,1.5824
1,4,0.1626
1,7,0.1431
1,8,0.1389
1,9,0.1889
1,10,0.1784
1,16,0.1347
1,32,0.1578
1,64,0.1598
1,128,0.1819
1,256,0.1418
2,2,0.5242
2,4,0.5295
2,7,0.5345
2,8,0.6162
2,9,0.6412
2,10,0.5397
2,16,0.6444
2,32,0.5512
2,64,1.4686
2,128,0.4932
2,256,0.5287
3,2,0.3893
3,4,0.4099
3,7,0.5663
3,8,0.3957
3,9,0.4088
3,10,0.5472
3,16,0.5576
3,32,0.6239
3,64,0.394
3,128,0.3908
3,256,0.3926
4,2,0.9736
4,4,0.9545
4,7,0.9656
4,8,0.9868
4,9,0.9431
4,10,1.3388
4,16,0.9549
4,32,0.9868
4,64,0.9632
4,128,1.0144
4,256,1.0283
5,2,0.9546
5,4,0.9848
5,7,1.015
5,8,0.9832
5,9,0.9406
5,10,0.9469
5,16,0.9993
5,32,0.9816
5,64,0.9622
5,128,1.0147
5,256,1.0001
6,2,1.9605
6,4,1.9594
6,7,1.8332
6,8,1.7806
6,9,2.4139
6,10,2.4865
6,16,2.7864
6,32,3.6563
6,64,3.239
6,128,3.3242
6,256,2.9987
7,2,2.9138
7,4,2.6571
7,7,2.9472
7,8,2.6017
7,9,2.7604
7,10,3.9129
7,16,3.5251
7,32,2.5619
7,64,2.776
7,128,2.6236
7,256,3.1579
8,2,5.1192
8,4,4.7531
8,7,3.9804
8,8,3.8979
8,9,4.1741
8,10,4.3718
8,16,4.1733
8,32,2.9742
8,64,3.3916
8,128,2.9483
8,256,3.2978
9,2,3.0017
9,4,2.9702
9,7,3.1418
9,8,3.0503
9,9,2.9068
9,10,3.1659
9,16,2.8918
9,32,3.0885
9,64,3.021
9,128,2.9991
9,256,3.0262
10,2,4.4068
10,4,4.3591
10,7,4.7747
10,8,6.5412
10,9,5.2643
10,10,4.6499
10,16,4.3312
10,32,4.4142
10,64,4.5411
10,128,4.4649
10,256,4.2808
11,2,5.1131
