thickness,threads,openmp
600
1,2,1.981
1,4,0.5816
1,7,0.5682
1,8,0.5387
1,9,0.539
1,10,0.563
1,16,0.5398
1,32,0.5341
1,64,0.5503
1,128,0.5465
1,256,0.5243
2,2,2.4298
2,4,1.3226
2,7,1.262
2,8,1.3033
2,9,1.1553
2,10,1.2285
2,16,1.2029
2,32,1.543
2,64,1.7188
2,128,1.2508
2,256,1.2277
3,2,1.3191
3,4,1.2397
3,7,1.2152
3,8,1.1554
3,9,1.2847
3,10,1.5264
3,16,2.2566
3,32,1.2685
3,64,1.7695
3,128,1.2362
3,256,1.2201
4,2,2.8452
4,4,4.1116
4,7,4.103
4,8,5.3702
4,9,5.7099
4,10,3.9103
4,16,5.4253
4,32,5.3799
4,64,5.6914
4,128,5.0006
4,256,5.3156
5,2,5.3607
5,4,5.0151
5,7,6.131
5,8,5.4708
5,9,4.9555
5,10,5.1799
5,16,5.2924
5,32,5.4306
5,64,5.6028
5,128,5.4136
5,256,4.8236
6,2,10.4086
6,4,9.5188
6,7,5.4256
6,8,6.0895
6,9,5.7431
6,10,5.6474
6,16,5.4243
6,32,6.8055
6,64,5.8366
6,128,5.4672
6,256,5.4001
7,2,6.0262
7,4,5.4912
7,7,5.4558
7,8,6.6912
7,9,5.521
7,10,5.7733
7,16,6.0428
7,32,5.787
7,64,6.9129
7,128,5.9459
7,256,6.0721
8,2,8.8855
8,4,9.3656
8,7,8.7448
8,8,9.0915
8,9,12.8667
8,10,9.0113
8,16,9.8384
8,32,9.8486
8,64,9.5856
8,128,8.9297
8,256,9.188
9,2,9.3102
9,4,9.0165
9,7,8.778
9,8,9.6453
9,9,9.188
9,10,10.149
9,16,9.6089
9,32,10.1602
9,64,9.345
9,128,9.2679
9,256,8.5286
10,2,12.7618
10,4,13.2015
10,7,12.7668
10,8,13.086
10,9,15.7361
10,10,13.8106
10,16,13.5737
10,32,13.7898
10,64,13.6809
10,128,14.2016
10,256,14.4973
11,2,13.8048
11,4,13.9931
11,7,13.539
11,8,13.353
11,9,13.6336
11,10,14.8543
11,16,13.8432
11,32,14.0631
11,64,13.4902
11,128,18.1591
11,256,13.5127
12,2,18.0666
12,4,17.9653
12,7,18.6705
12,8,18.929
12,9,19.2793
12,10,18.6492
12,16,18.641
12,32,32.4979
12,64,34.1667
12,128,25.6342
12,256,18.9371
13,2,19.1758
13,4,19.645
13,7,22.53
13,8,32.7196
13,9,20.2028
13,10,18.6474
13,16,19.2923
13,32,17.8327
13,64,19.4251
13,128,20.4762
13,256,18.2853
14,2,24.7093
14,4,24.1133
14,7,24.2472
14,8,25.1063
14,9,24.2843
14,10,24.3132
14,16,24.0229
14,32,30.3412
14,64,25.5859
14,128,23.8954
14,256,24.449
15,2,23.461
15,4,25.4542
15,7,24.5122
15,8,24.1708
15,9,23.5507
15,10,23.4859
15,16,24.4428
15,32,24.9247
15,64,23.905
15,128,23.4895
15,256,26.0523
16,2,30.826
16,4,35.9101
16,7,30.0995
16,8,29.2944
16,9,30.942
16,10,29.7649
16,16,30.42
16,32,31.8521
16,64,30.5348
16,128,29.1503
16,256,29.6662
17,2,29.6955
17,4,31.4537
17,7,30.5301
17,8,30.5821
17,9,30.8403
17,10,31.3763
17,16,31.6541
17,32,30.2231
17,64,32.8244
17,128,31.143
17,256,35.1225
18,2,37.1252
18,4,37.502
18,7,36.723
18,8,37.3258
18,9,41.8068
18,10,41.8976
18,16,37.5794
18,32,40.7453
18,64,38.3481
18,128,37.2602
18,256,39.6653
19,2,39.8337
19,4,38.2828
19,7,36.3791
19,8,38.3085
19,9,37.5212
19,10,40.3506
19,16,37.7637
19,32,39.5071
19,64,38.6286
19,128,37.7994
19,256,36.9148
20,2,45.5689
20,4,43.9313
20,7,47.0372
20,8,46.5591
20,9,47.7834
20,10,45.3042
20,16,44.5818
20,32,46.7851
20,64,47.0142
20,128,45.2824
20,256,46.4177
21,2,50.4446
21,4,44.4112
21,7,50.2545
21,8,48.3686
21,9,45.4895
21,10,46.2328
21,16,47.2217
21,32,46.7462
21,64,47.9515
21,128,44.3161
21,256,44.2968
22,2,56.7868
22,4,59.045
22,7,52.9519
22,8,58.8082
22,9,54.8657
22,10,53.8283
22,16,54.0468
22,32,60.948
22,64,54.0584
22,128,60.7939
22,256,54.7039
23,2,62.0297
23,4,54.9166
23,7,57.5294
23,8,53.026
23,9,53.0645
23,10,55.0895
23,16,53.613
23,32,52.8443
