thickness,sequential
300
1,0.6545
2,2.2653
3,2.2058
4,5.2751
5,5.609
6,10.3531
7,10.8524
8,25.3499
9,19.5323
10,34.5345
11,28.0555
12,37.4693
13,34.4559
14,51.1398
15,46.8747
16,61.3047
17,64.2211
18,140.681
19,102.549
20,102.099
21,88.1326
22,107.802
23,117.361
24,146.287
25,134.183
26,137.817
27,134.989
28,153.536
29,156.707
30,178.056
31,180.04
32,201.249
33,213.388
34,228.547
35,225.612
36,256.061
37,259.642
38,286.818
39,283.098
40,315.84
41,312.983
42,342.181
43,339.104
44,370.17
45,368.197
46,401.662
47,400.28
48,455.439
49,455.011
50,494.275
