thickness,threads,threaded
1,2,5.9002
1,4,1.9521
1,7,3.0536
1,8,3.0352
1,9,4.0811
1,10,3.7888
1,16,5.4712
1,32,11.7522
1,64,24.2385
1,128,50.7341
1,256,120.994
2,2,1.9399
2,4,2.4715
2,7,3.7225
2,8,5.0878
2,9,4.5463
2,10,4.5205
2,16,7.5192
2,32,13.2722
2,64,26.26
2,128,65.9514
2,256,112.269
3,2,1.5106
3,4,2.002
3,7,3.317
3,8,3.5853
3,9,4.1429
3,10,4.3388
3,16,7.7081
3,32,15.0284
3,64,27.4978
3,128,58.2958
3,256,123.663
4,2,2.1551
4,4,2.5141
4,7,3.8334
4,8,4.5699
4,9,5.0349
4,10,5.1079
4,16,7.4387
4,32,15.3721
4,64,30.1278
4,128,62.6365
4,256,138.856
5,2,2.4777
5,4,2.9574
5,7,4.5015
5,8,4.5014
5,9,5.0189
5,10,6.0527
5,16,8.7606
5,32,16.6016
5,64,35.4638
5,128,66.0326
5,256,138.018
6,2,3.2438
6,4,3.6967
6,7,4.7347
6,8,5.1535
6,9,5.4929
6,10,6.1411
6,16,8.5432
6,32,16.8444
6,64,32.6046
6,128,65.2264
6,256,132.16
7,2,3.0667
7,4,3.3506
7,7,4.6052
7,8,4.9384
7,9,5.268
7,10,5.8716
7,16,8.53
7,32,15.8266
7,64,36.5395
7,128,64.1474
7,256,138.155
8,2,4.0651
8,4,4.6286
8,7,5.6912
8,8,6.3638
8,9,6.5341
8,10,6.4078
8,16,9.1665
8,32,18.2137
8,64,31.8997
8,128,63.8963
8,256,131.745
9,2,4.2462
9,4,4.3637
9,7,5.159
9,8,6.0387
9,9,6.332
9,10,6.558
9,16,10.8142
9,32,16.8818
9,64,35.8749
9,128,73.949
9,256,144.299
10,2,5.7071
10,4,5.8376
10,7,6.648
10,8,9.003
10,9,7.8083
10,10,8.3234
10,16,11.5943
10,32,20.6738
10,64,37.1468
10,128,68.4677
10,256,139.705
11,2,5.4071
11,4,5.3485
11,7,6.5987
11,8,7.5625
11,9,7.7705
11,10,7.979
11,16,11.3037
11,32,20.3091
11,64,33.7452
11,128,67.5967
11,256,135.923
12,2,6.8292
12,4,6.2703
12,7,7.7029
12,8,8.3235
12,9,8.894
12,10,9.0988
12,16,11.8394
12,32,19.0972
12,64,32.6802
12,128,65.7095
12,256,133.487
13,2,6.7143
13,4,6.1205
13,7,6.8875
13,8,8.6027
13,9,8.6795
13,10,8.4931
13,16,11.0821
13,32,19.3395
13,64,35.7443
13,128,69.8033
13,256,131.988
14,2,8.0391
14,4,7.7875
14,7,7.7769
14,8,9.2202
14,9,9.0646
14,10,9.2835
14,16,12.1653
14,32,20.2131
14,64,36.1098
14,128,63.9057
14,256,130.229
15,2,8.1314
15,4,7.6211
15,7,8.0074
15,8,8.2952
15,9,9.5681
15,10,9.7241
15,16,12.5921
15,32,19.9732
15,64,35.5752
15,128,63.5653
15,256,127.909
16,2,10.273
16,4,9.1195
16,7,8.4936
16,8,9.8492
16,9,10.3025
16,10,11.2986
16,16,12.6936
16,32,20.2936
16,64,37.449
16,128,63.7554
16,256,131.51
17,2,10.341
17,4,8.985
17,7,9.0268
17,8,11.8582
17,9,10.4759
17,10,10.84
17,16,13.5459
17,32,19.6244
17,64,35.2946
17,128,60.7237
17,256,128.619
18,2,12.1594
18,4,10.3152
18,7,10.0743
18,8,11.4519
18,9,11.4989
18,10,12.6335
18,16,14.1624
18,32,23.8037
18,64,36.4105
18,128,60.7753
18,256,160.919
19,2,14.4239
19,4,11.3448
19,7,13.406
19,8,13.7813
19,9,14.3464
19,10,14.0037
19,16,16.1909
19,32,26.7378
19,64,36.8199
19,128,66.5908
19,256,133.058
20,2,15.9617
20,4,14.1767
20,7,14.8671
20,8,13.2112
20,9,13.7494
20,10,15.0493
20,16,16.2969
20,32,23.1712
20,64,33.6991
20,128,63.6098
20,256,127.099
21,2,21.9272
21,4,14.4378
21,7,18.8129
21,8,15.2447
21,9,15.5965
21,10,15.8689
21,16,17.2895
21,32,21.0017
21,64,32.1305
21,128,75.6993
21,256,124.938
22,2,16.4889
22,4,14.2271
22,7,12.1304
22,8,14.005
22,9,14.1557
22,10,15.2888
22,16,16.2937
22,32,22.0831
22,64,34.8594
22,128,62.2527
22,256,122.588
23,2,27.0617
23,4,13.1866
23,7,12.4129
23,8,12.4542
23,9,13.0964
23,10,13.5549
23,16,14.8878
23,32,21.2303
23,64,32.6584
23,128,58.7218
23,256,112.055
24,2,19.8659
24,4,14.1143
24,7,13.2286
24,8,14.4643
24,9,15.5917
24,10,15.2363
24,16,16.8187
24,32,23.4328
24,64,32.1916
24,128,55.4878
24,256,108.149
25,2,19.8629
25,4,15.8472
25,7,13.8239
25,8,14.6316
25,9,15.8556
25,10,15.6005
25,16,16.3699
25,32,20.657
25,64,31.2706
25,128,53.646
25,256,108.167
26,2,22.7857
26,4,17.9462
26,7,15.6876
26,8,15.8827
26,9,17.0019
26,10,16.9191
26,16,16.827
26,32,21.7454
26,64,32.6233
26,128,51.8534
26,256,105.775
27,2,22.8062
27,4,16.7278
27,7,15.8585
27,8,17.1167
27,9,16.4724
27,10,17.0804
27,16,16.8839
27,32,21.0715
27,64,31.0396
27,128,50.9007
27,256,99.4881
28,2,26.0663
28,4,19.5118
28,7,16.4021
28,8,18.4971
28,9,19.3674
28,10,17.631
28,16,16.3718
28,32,21.9251
28,64,33.0132
28,128,51.267
28,256,100.575
29,2,28.5014
29,4,21.1871
29,7,16.7565
29,8,17.9668
29,9,17.9944
29,10,16.4722
29,16,22.395
29,32,31.1915
29,64,31.311
29,128,51.2365
29,256,109.18
30,2,28.5359
30,4,21.1844
30,7,18.9717
30,8,20.9801
30,9,18.5442
30,10,18.0159
30,16,19.5899
30,32,24.2025
30,64,35.3228
30,128,52.0749
30,256,103.461
31,2,29.8241
31,4,21.9917
31,7,19.1947
31,8,21.8022
31,9,21.001
31,10,20.0378
31,16,19.5116
31,32,24.3465
31,64,33.8516
31,128,52.3577
31,256,101.296
32,2,32.1772
32,4,26.5928
32,7,21.2628
32,8,25.437
32,9,20.6047
32,10,20.7076
32,16,21.1923
32,32,25.5015
32,64,35.3624
32,128,53.7744
32,256,106.609
33,2,32.6081
33,4,24.8889
33,7,20.3299
33,8,25.0624
33,9,22.2265
33,10,23.2328
33,16,22.7184
33,32,25.4819
33,64,35.2954
33,128,56.314
33,256,109.054
34,2,38.8041
34,4,31.7399
34,7,23.9273
34,8,37.5904
34,9,30.8328
34,10,30.1397
34,16,33.948
34,32,79.9839
34,64,172.019
34,128,123.376
34,256,118.915
35,2,52.2177
35,4,33.9864
35,7,31.2414
35,8,25.6841
35,9,29.0698
35,10,37.6606
35,16,29.4303
35,32,34.7672
35,64,45.3428
35,128,72.0958
35,256,119.004
36,2,40.6283
36,4,34.1275
36,7,34.4819
36,8,31.7104
36,9,33.8484
36,10,30.3522
36,16,34.4033
36,32,57.0241
36,64,55.4481
36,128,64.4654
36,256,115.734
37,2,46.8019
37,4,32.3056
37,7,24.7516
37,8,38.8628
37,9,36.382
37,10,44.7855
37,16,40.1482
37,32,48.9392
37,64,68.3053
37,128,72.5188
37,256,130.56
38,2,61.308
38,4,33.7496
38,7,27.3953
38,8,25.2104
38,9,29.8685
38,10,35.6339
38,16,32.6206
38,32,34.6375
38,64,41.9766
38,128,62.0225
38,256,109.102
39,2,53.6132
39,4,36.7507
39,7,27.0573
39,8,30.4657
39,9,31.5921
39,10,32.0323
39,16,28.1384
39,32,36.8977
39,64,43.0653
39,128,66.5467
39,256,125.298
40,2,51.8945
40,4,39.6481
40,7,29.8257
40,8,32.9521
40,9,32.3718
40,10,40.5957
40,16,51.1727
40,32,37.0387
40,64,49.7176
40,128,67.6035
40,256,118.46
41,2,74.9807
41,4,38.396
41,7,30.4237
41,8,32.9222
41,9,33.2308
41,10,35.8735
41,16,29.3128
41,32,38.3873
41,64,47.0349
41,128,69.1685
41,256,120.516
42,2,57.2178
42,4,49.8481
42,7,33.0759
42,8,36.4445
42,9,36.7627
42,10,34.2563
42,16,34.964
42,32,37.2285
42,64,49.0869
42,128,72.566
42,256,119.275
43,2,58.6495
43,4,52.5015
43,7,31.2071
43,8,35.7769
43,9,36.9112
43,10,31.8962
43,16,32.0258
43,32,38.0158
43,64,47.947
43,128,70.0839
43,256,120.295
44,2,85.3292
44,4,49.5839
44,7,35.5994
44,8,32.3686
44,9,38.1519
44,10,38.5088
44,16,35.9614
44,32,44.668
44,64,52.2134
44,128,73.0259
44,256,120.756
45,2,64.6539
45,4,53.0773
45,7,35.5783
45,8,30.1142
45,9,35.0404
45,10,39.5963
45,16,33.9507
45,32,40.6056
45,64,53.3627
45,128,71.8432
45,256,117.038
46,2,78.1536
46,4,52.8538
46,7,36.4931
46,8,35.8987
46,9,43.7366
46,10,36.112
46,16,36.5471
46,32,42.7707
46,64,50.7308
46,128,75.3774
46,256,120.207
47,2,106.812
47,4,50.5556
47,7,39.5077
47,8,34.4265
47,9,40.1839
47,10,43.0426
47,16,34.7529
47,32,39.5738
47,64,50.2545
47,128,74.5607
47,256,121.319
48,2,77.448
48,4,45.3835
48,7,43.9344
48,8,40.9942
48,9,41.5325
48,10,43.5494
48,16,42.4237
48,32,42.478
48,64,56.5712
48,128,75.7309
48,256,126.222
49,2,94.7225
49,4,53.2863
49,7,41.3746
49,8,35.9299
49,9,42.0337
49,10,40.219
49,16,54.0436
49,32,43.3812
49,64,53.565
49,128,74.6456
49,256,123.939
50,2,111.84
50,4,71.1564
50,7,44.7104
50,8,41.8553
50,9,48.5478
50,10,55.4142
50,16,45.5987
50,32,46.7488
50,64,55.2543
50,128,79.7434
50,256,125.795
