thickness,threads,threaded
100
1,2,5.3618
1,4,1.933
1,7,2.6021
1,8,2.5558
1,9,2.7831
1,10,3.2479
1,16,5.8203
1,32,13.6475
1,64,24.1992
1,128,66.9112
1,256,110.71
2,2,1.7133
2,4,2.1445
2,7,3.2358
2,8,4.1235
2,9,4.2141
2,10,4.4064
2,16,6.9199
2,32,13.6766
2,64,26.6273
2,128,56.0176
2,256,109.825
3,2,1.7164
3,4,2.0917
3,7,3.3763
3,8,3.9842
3,9,4.055
3,10,4.5122
3,16,7.5758
3,32,13.7703
3,64,27.0412
3,128,57.2207
3,256,121.038
4,2,2.7685
4,4,3.0187
4,7,3.9886
4,8,4.3334
4,9,4.7748
4,10,5.7627
4,16,8.8531
4,32,16.441
4,64,29.8069
4,128,61.2513
4,256,128.668
5,2,2.926
5,4,3.3406
5,7,4.2789
5,8,4.8986
5,9,5.7484
5,10,6.7137
5,16,9.2133
5,32,17.5613
5,64,35.4721
5,128,60.6425
5,256,129.256
6,2,4.6967
6,4,4.2374
6,7,5.5035
6,8,5.9005
6,9,6.3726
6,10,6.4578
6,16,8.7683
6,32,16.43
6,64,37.1578
6,128,65.8277
6,256,136.456
7,2,4.6354
7,4,5.4621
7,7,6.2217
7,8,6.238
7,9,6.3619
7,10,6.7086
7,16,9.8287
7,32,17.0501
7,64,34.3233
7,128,64.3427
7,256,137.235
8,2,6.3082
8,4,6.4097
8,7,7.2338
8,8,8.2056
8,9,7.5857
8,10,7.9144
8,16,10.4858
8,32,19.5037
8,64,32.1509
8,128,64.2267
8,256,135.243
9,2,6.4317
9,4,6.3628
9,7,7.053
9,8,7.5436
9,9,8.4961
9,10,8.2706
9,16,12.1833
9,32,17.4933
9,64,32.5907
9,128,63.9824
9,256,134.332
10,2,8.416
10,4,8.8109
10,7,8.2033
10,8,10.4845
10,9,9.1762
10,10,9.7047
10,16,12.1426
10,32,18.4425
10,64,33.19
10,128,65.0293
10,256,129.962
11,2,8.8409
11,4,7.0005
11,7,8.4054
11,8,9.6257
11,9,8.9899
11,10,9.4139
11,16,11.5036
11,32,18.5062
11,64,33.1702
11,128,66.7016
11,256,140.981
12,2,14.2551
12,4,10.1124
12,7,11.7796
12,8,11.5343
12,9,11.1462
12,10,11.3691
12,16,14.2547
12,32,21.0744
12,64,34.7355
12,128,63.0271
12,256,127.827
13,2,10.7452
13,4,9.9697
13,7,9.9283
13,8,10.7131
13,9,10.7516
13,10,11.4714
13,16,14.239
13,32,19.9674
13,64,33.0455
13,128,62.8444
13,256,125.851
14,2,13.4851
14,4,10.6034
14,7,11.4112
14,8,13.0698
14,9,12.7963
14,10,12.7322
14,16,15.1726
14,32,19.8855
14,64,33.7685
14,128,62.5759
14,256,121.153
15,2,13.5493
15,4,11.0165
15,7,10.5546
15,8,11.8664
15,9,12.2444
15,10,12.3618
15,16,14.1593
15,32,19.9322
15,64,33.3258
15,128,60.751
15,256,116.888
16,2,18.0925
16,4,14.6794
16,7,14.5011
16,8,14.6995
16,9,13.797
16,10,15.1531
16,16,17.3704
16,32,22.4858
16,64,35.6237
16,128,59.1717
16,256,117.602
17,2,16.9945
17,4,14.1502
17,7,13.4607
17,8,14.5551
17,9,15.0281
17,10,15.2101
17,16,15.7877
17,32,20.9499
17,64,33.4083
17,128,57.0151
17,256,119.093
18,2,20.7393
18,4,17.1084
18,7,14.3396
18,8,16.0871
18,9,15.6742
18,10,16.4516
18,16,17.16
18,32,24.3031
18,64,33.9963
18,128,57.0521
18,256,113.283
19,2,20.8066
19,4,16.9507
19,7,14.5814
19,8,16.9256
19,9,16.8306
19,10,15.8812
19,16,17.8817
19,32,24.3891
19,64,33.8949
19,128,54.4942
19,256,108.775
20,2,25.9172
20,4,18.8724
20,7,15.6451
20,8,17.5081
20,9,17.4642
20,10,20.344
20,16,18.4133
20,32,22.8825
20,64,32.2094
20,128,52.0611
20,256,103.343
21,2,25.261
21,4,19.727
21,7,17.7166
21,8,17.9442
21,9,18.2491
21,10,17.1719
21,16,19.9604
21,32,22.1409
21,64,31.4456
21,128,53.0699
21,256,98.3983
22,2,36.7123
22,4,22.4024
22,7,19.635
22,8,20.6314
22,9,18.6393
22,10,18.9247
22,16,20.8603
22,32,23.6175
22,64,35.334
22,128,54.6644
22,256,97.3748
23,2,30.7445
23,4,22.9861
23,7,19.1584
23,8,18.1131
23,9,17.9029
23,10,18.3718
23,16,18.4522
23,32,24.4055
23,64,34.1227
23,128,53.6492
23,256,98.4272
24,2,41.8441
24,4,28.5327
24,7,24.4413
24,8,29.8367
24,9,23.1061
24,10,22.7403
24,16,21.7749
24,32,27.3195
24,64,35.6217
24,128,64.7305
24,256,100.062
25,2,34.0251
25,4,23.0394
25,7,20.5502
25,8,22.9229
25,9,23.4546
25,10,23.7238
25,16,25.3666
25,32,29.9943
25,64,37.145
25,128,56.7517
25,256,107.14
26,2,47.6794
26,4,37.5103
26,7,31.8029
26,8,30.4872
26,9,35.4663
26,10,36.7967
26,16,36.2972
26,32,34.4058
26,64,55.7097
26,128,196.843
26,256,258.114
27,2,45.1357
27,4,36.4217
27,7,33.6595
27,8,32.9983
27,9,37.0784
27,10,34.0519
27,16,32.9461
27,32,36.9782
27,64,60.0615
27,128,85.8172
27,256,128.72
28,2,52.642
28,4,41.6301
28,7,41.3506
28,8,35.7571
28,9,33.3889
28,10,37.9442
28,16,34.2635
28,32,36.1461
28,64,58.4373
28,128,65.8346
28,256,103.363
29,2,49.6697
29,4,34.1968
29,7,30.6601
29,8,32.718
29,9,39.6801
29,10,29.3705
29,16,28.1913
29,32,36.8355
29,64,43.7062
29,128,77.8171
29,256,132.298
30,2,69.2016
30,4,49.5967
30,7,47.9528
30,8,53.1915
30,9,36.4322
30,10,36.78
30,16,38.6978
30,32,45.0333
30,64,53.9821
30,128,71.7903
30,256,114.725
31,2,53.9386
31,4,40.9502
31,7,30.5263
31,8,35.2126
31,9,33.7047
31,10,36.2062
31,16,33.7304
31,32,37.1481
31,64,48.107
31,128,74.8921
31,256,114.823
32,2,98.9888
32,4,47.6276
32,7,33.022
32,8,32.0041
32,9,44.1842
32,10,37.1038
32,16,36.6386
32,32,39.83
32,64,52.6343
32,128,76.3427
32,256,124.089
33,2,69.6222
33,4,47.7171
33,7,35.0149
33,8,33.035
33,9,34.6359
33,10,44.03
33,16,39.7789
33,32,39.2149
33,64,52.4613
33,128,72.1244
33,256,109.617
34,2,68.6015
34,4,57.5693
34,7,39.6022
34,8,52.4201
34,9,38.4574
34,10,40.9958
34,16,42.8219
34,32,44.0607
34,64,56.0213
34,128,76.1948
34,256,112.812
35,2,67.2138
35,4,47.3327
35,7,37.1974
35,8,40.1702
35,9,39.1141
35,10,41.8582
35,16,38.9701
35,32,41.2949
35,64,52.9241
35,128,74.7189
35,256,115.675
36,2,82.0549
36,4,58.5913
36,7,41.4317
36,8,40.5585
36,9,47.1431
36,10,44.692
36,16,46.4043
36,32,47.5018
36,64,54.8003
36,128,78.0124
36,256,128.264
37,2,80.096
37,4,51.5098
37,7,42.2708
37,8,57.5485
37,9,48.9409
37,10,45.046
37,16,42.7868
37,32,44.7544
37,64,55.5841
37,128,82.5639
37,256,126.793
38,2,88.3619
38,4,66.5161
38,7,44.1355
38,8,46.0391
38,9,46.9675
38,10,50.2113
38,16,47.4408
38,32,50.2788
38,64,57.8921
38,128,80.8376
38,256,130.297
39,2,84.1347
39,4,64.8775
39,7,50.4124
