thickness,threads,threaded
600
1,2,7.6968
1,4,3.7114
1,7,4.4178
1,8,5.466
1,9,4.021
1,10,3.3625
1,16,5.1154
1,32,10.0273
1,64,27.5579
1,128,58.5074
1,256,98.797
2,2,3.5901
2,4,3.1871
2,7,4.0032
2,8,4.4766
2,9,4.7222
2,10,5.0812
2,16,7.0797
2,32,12.5711
2,64,24.2315
2,128,51.6129
2,256,105.429
3,2,3.7292
3,4,3.9759
3,7,4.7965
3,8,5.0563
3,9,5.1287
3,10,5.2353
3,16,7.6093
3,32,13.6661
3,64,27.2336
3,128,56.4598
3,256,123.017
4,2,6.652
4,4,6.3985
4,7,6.4382
4,8,8.0781
4,9,7.1967
4,10,7.9416
4,16,9.936
4,32,15.9299
4,64,28.6487
4,128,58.9188
4,256,127.254
5,2,10.8224
5,4,7.5055
5,7,7.5774
5,8,7.3422
5,9,7.4561
5,10,7.7369
5,16,10.1033
5,32,16.2273
5,64,34.1726
5,128,61.4682
5,256,130.292
6,2,13.4474
6,4,10.4495
6,7,11.9386
6,8,12.4233
6,9,12.4162
6,10,12.3411
6,16,13.0859
6,32,19.4702
6,64,32.1362
6,128,60.4406
6,256,129.035
7,2,14.788
7,4,10.8609
7,7,10.9437
7,8,13.0852
7,9,13.2094
7,10,13.3128
7,16,14.2971
7,32,19.4713
7,64,33.621
7,128,58.8227
7,256,123.437
8,2,26.8102
8,4,15.755
8,7,16.7232
8,8,16.4394
8,9,19.0198
8,10,15.4288
8,16,17.8112
8,32,21.6875
8,64,37.8286
8,128,60.6077
8,256,112.127
9,2,18.3998
9,4,15.0514
9,7,14.212
9,8,15.4847
9,9,14.2321
9,10,15.1811
9,16,19.1347
9,32,22.6017
9,64,35.1675
9,128,56.765
9,256,106.712
10,2,26.9434
10,4,20.4454
10,7,16.8441
10,8,20.847
10,9,23.3168
10,10,19.3994
10,16,21.7585
10,32,27.2204
10,64,36.0992
10,128,57.9727
10,256,107.156
11,2,28.5999
11,4,25.0185
11,7,19.267
11,8,19.8099
11,9,19.8738
11,10,22.3373
11,16,20.793
11,32,23.025
11,64,33.2987
11,128,56.2755
11,256,99.7606
12,2,49.9738
12,4,28.9078
12,7,22.2422
12,8,23.9376
12,9,23.9135
12,10,22.6295
12,16,22.5036
12,32,27.933
12,64,38.2439
12,128,62.145
12,256,98.5469
13,2,49.7549
13,4,26.4233
13,7,24.8243
13,8,21.9294
13,9,29.5207
13,10,24.3807
13,16,27.4365
13,32,28.7114
13,64,37.1678
13,128,59.1064
13,256,101.576
14,2,45.872
14,4,35.0957
14,7,25.2474
14,8,32.117
14,9,31.4739
14,10,33.3328
14,16,31.85
14,32,32.7264
14,64,44.7001
14,128,65.1145
14,256,103.547
15,2,48.1371
15,4,38.1787
15,7,27.034
15,8,24.681
15,9,36.9691
15,10,29.9393
15,16,31.1571
15,32,31.8026
15,64,43.9513
15,128,70.234
15,256,106.648
16,2,58.0974
16,4,38.8758
16,7,33.278
16,8,40.0791
16,9,40.3616
16,10,39.8901
16,16,35.6848
16,32,38.239
16,64,48.493
16,128,75.5528
16,256,108.364
17,2,68.8394
17,4,44.6127
17,7,37.9245
17,8,44.648
17,9,39.961
17,10,39.8236
17,16,31.9179
17,32,38.3247
17,64,49.1495
17,128,71.7185
17,256,109.999
18,2,76.4835
18,4,59.12
18,7,39.7429
18,8,37.6593
18,9,46.8138
18,10,43.3933
18,16,46.1138
18,32,46.4561
18,64,55.1786
18,128,78.3514
18,256,123.878
19,2,79.421
19,4,56.9862
19,7,43.2229
19,8,51.1775
19,9,47.6095
19,10,43.6152
19,16,41.1843
19,32,44.5563
19,64,61.4138
19,128,77.5376
19,256,119.539
20,2,96.7754
20,4,65.7612
20,7,49.4097
20,8,44.4526
20,9,54.8812
20,10,52.6044
20,16,49.2015
20,32,55.9478
20,64,66.6553
20,128,85.0448
20,256,125.228
21,2,99.5724
21,4,56.1964
21,7,47.8934
21,8,54.1525
21,9,56.003
21,10,63.6233
21,16,47.3299
21,32,52.609
21,64,66.1117
21,128,84.238
21,256,129.185
22,2,121.171
22,4,82.3381
22,7,57.4651
22,8,54.7552
22,9,62.5481
22,10,61.7669
22,16,60.4168
22,32,60.0164
22,64,73.8115
22,128,96.1078
22,256,146.303
23,2,115.87
23,4,74.4134
23,7,58.9516
23,8,53.4258
23,9,67.0872
23,10,62.9384
23,16,56.9737
23,32,61.0042
23,64,74.3998
23,128,94.3277
23,256,144.176
24,2,122.282
24,4,95.0778
24,7,69.601
24,8,61.4674
24,9,71.5249
24,10,72.7354
24,16,63.1885
24,32,69.6727
24,64,87.288
24,128,103.19
24,256,153.373
25,2,127.434
25,4,88.594
25,7,70.9719
25,8,62.585
25,9,71.9957
25,10,73.1554
25,16,66.4545
25,32,70.1294
25,64,81.4213
25,128,105.135
25,256,150.75
26,2,172.347
26,4,104.671
26,7,76.2637
26,8,72.7436
26,9,80.656
26,10,80.7302
26,16,82.4941
26,32,86.8207
26,64,88.3332
26,128,114.143
26,256,160.844
27,2,146.882
27,4,113.803
27,7,76.573
27,8,70.5049
27,9,77.3009
27,10,84.9265
27,16,75.8604
27,32,78.243
27,64,92.4952
27,128,110.447
27,256,158.195
28,2,165.206
28,4,116.318
28,7,85.6796
28,8,85.2019
28,9,98.5554
28,10,97.2254
28,16,90.2616
28,32,86.6954
28,64,98.4622
28,128,129.075
28,256,170.409
29,2,169.977
29,4,98.8287
29,7,87.3085
29,8,82.5636
29,9,89.0481
29,10,89.5412
29,16,93.3526
29,32,92.366
29,64,101.099
29,128,127.48
29,256,173.098
30,2,209.94
30,4,142.03
30,7,102.418
30,8,96.3091
30,9,99.7366
30,10,96.6337
30,16,110.312
30,32,101.584
30,64,113.796
30,128,135.195
30,256,182.676
31,2,191.227
31,4,135.725
31,7,105.902
31,8,92.7446
31,9,104.739
31,10,97.9631
31,16,95.315
31,32,106.442
31,64,111.771
31,128,138.385
31,256,183.13
32,2,217.333
32,4,144.132
32,7,127.801
32,8,127.519
32,9,119.203
32,10,116.379
32,16,109.919
32,32,121.201
32,64,127.142
32,128,160.758
32,256,210.991
33,2,221.524
33,4,134.212
33,7,110.257
33,8,104.196
33,9,111.365
33,10,114.44
33,16,112.541
33,32,114.165
33,64,123.209
33,128,147.468
33,256,196.815
34,2,254.889
34,4,165.335
34,7,123.653
34,8,120.043
34,9,120.309
34,10,132.377
34,16,119.81
34,32,134.86
34,64,138.634
34,128,168.99
34,256,214.759
35,2,246.274
35,4,167.247
35,7,128.243
35,8,125.352
35,9,130.374
35,10,121.02
35,16,116.338
35,32,130.65
35,64,134.053
35,128,160.565
35,256,208.15
36,2,286.158
36,4,175.432
36,7,139.012
36,8,135.559
36,9,138.868
36,10,139.285
36,16,136.014
36,32,141.186
36,64,145.848
36,128,174.368
36,256,226.682
37,2,289.888
37,4,183.279
37,7,146.493
37,8,133.282
37,9,153.612
37,10,139.958
37,16,141.75
37,32,137.793
37,64,154.531
37,128,171.805
37,256,222.204
38,2,349.53
38,4,233.642
38,7,156.378
38,8,154.127
38,9,162.679
38,10,153.958
38,16,156.969
38,32,155.511
38,64,170.415
38,128,193.014
38,256,240.645
39,2,350.382
39,4,218.936
39,7,158.368
39,8,155.002
39,9,151.681
39,10,168.326
39,16,172.068
39,32,162.29
39,64,189.609
39,128,282.755
39,256,275.303
40,2,350.322
40,4,219.616
40,7,172.7
40,8,178.772
40,9,192.956
40,10,187.644
40,16,173.604
40,32,213.957
40,64,203.115
40,128,203.355
40,256,261.501
41,2,378.548
41,4,266.92
41,7,197.639
41,8,175.708
41,9,172.812
41,10,192.594
41,16,167.325
41,32,167.438
41,64,182.708
41,128,207.367
41,256,264.109
42,2,366.144
42,4,243.524
42,7,188.945
42,8,189.393
42,9,183.353
42,10,204.304
42,16,203.722
42,32,191.181
42,64,197.855
42,128,228.295
42,256,273.059
43,2,371.723
43,4,233.651
43,7,193.951
43,8,180.255
43,9,187.826
43,10,188.596
43,16,181.475
43,32,188.743
43,64,197.419
43,128,215.547
43,256,280.613
44,2,394.554
44,4,244.469
44,7,212.297
44,8,200.586
44,9,206.642
44,10,217.017
44,16,204.207
44,32,205.29
44,64,210.16
44,128,231.234
44,256,292.902
45,2,406.104
45,4,274.457
45,7,200.816
45,8,194.958
45,9,208.362
45,10,208.297
45,16,198.639
45,32,200.2
45,64,218.584
45,128,235.843
45,256,293.889
46,2,448.671
46,4,320.539
46,7,291.689
46,8,221.11
46,9,225.518
46,10,230.003
46,16,220.4
46,32,216.44
46,64,235.709
46,128,251.242
46,256,304.462
47,2,441.771
47,4,309.367
47,7,227.156
47,8,209.946
47,9,222.418
47,10,216.872
47,16,216.295
47,32,216.415
47,64,225.523
47,128,251.528
47,256,312.942
48,2,511.824
48,4,367.794
48,7,274.032
48,8,236.297
48,9,262.255
48,10,250.805
48,16,246.542
48,32,245.368
48,64,259.288
48,128,277.658
48,256,333.164
49,2,493.607
49,4,324.46
49,7,242.029
49,8,232.944
49,9,237.75
49,10,251.469
49,16,252.916
49,32,239.256
49,64,253.234
49,128,277.227
49,256,328.182
50,2,545.092
50,4,336.408
50,7,261.586
50,8,252.299
50,9,266.42
50,10,256.444
50,16,266.266
50,32,259.875
50,64,316.324
50,128,309.491
50,256,374.634
